id,primary_level,levels,surface,reading_kana,alt_readings,meaning_ko,meaning_ko_variants,part_of_speech,entry_type,include_in_app,source_ids,source_entry_ids,source_entry_count,sections,existing_word_id,existing_level,qa_status,qa_note
w_dea60fff480fbc0b,N3,N3,区別,くべつ,,구별,구별,noun,word,1,mkt_n3,mkt_n3_p012_o0272,1,명사,w_dea60fff480fbc0b,N3,verified,
w_b8f2e1cf1ad91ae5,N3,N3,半日,はんにち,,반나절,반나절,,word,1,pass_n3,pass_n3_p010_o0235,1,문맥 규정,,,verified,문자 좌표 검증 완료; 선형 텍스트 레이어 순서 불일치
w_6faad024e90604f7,N3,N3,卒業,そつぎょう,,졸업,졸업,noun,word,1,mkt_n3;pass_n3,mkt_n3_p015_o0387;pass_n3_p005_o0039,2,명사;한자 읽기,w_6faad024e90604f7,N4,verified,
w_d67fe8342b4669a1,N3,N3,協力,きょうりょく,,협력,협력,noun,word,1,mkt_n3;pass_n3,mkt_n3_p011_o0264;pass_n3_p004_o0023,2,명사;한자 읽기,w_d67fe8342b4669a1,N3,verified,
w_d0117f3a4752c705,N3,N3,協力する,きょうりょくする,,협력하다,협력하다,,word,1,pass_n3,pass_n3_p018_o0527,1,유의어,,,verified,문자 좌표 검증 완료; 선형 텍스트 레이어 순서 불일치
w_5d840d71a8117da4,N3,N3,単純だ,たんじゅんだ,,단순하다,단순하다,na_adjective,word,1,mkt_n3;pass_n3,mkt_n3_p008_o0174;pass_n3_p014_o0396,2,な형용사;유의어,,,verified,
w_615accc201a27c29,N3,N3,単語,たんご,,단어,단어,noun,word,1,pass_n3,pass_n3_p004_o0019,1,한자 읽기,w_615accc201a27c29,N3,verified,
w_45e1c8d648720e49,N3,N3;N2,印象,いんしょう,,인상,인상,noun,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p013_o0342;mkt_n3_p009_o0197;pass_n3_p012_o0314,3,명사;문맥 규정,w_45e1c8d648720e49,N3,verified,
w_ef8fe7df0ce0ca60,N3,N3;N2,厚い,あつい,,두껍다,두껍다,i_adjective,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p009_o0239;mkt_n3_p006_o0129;pass_n3_p006_o0079,3,い형용사;한자 읽기,w_ef8fe7df0ce0ca60,N5,verified,
w_f5cd0e6666771bd8,N3,N3,原料,げんりょう,,원료,원료,noun,word,1,mkt_n3;pass_n3,mkt_n3_p012_o0295;pass_n3_p008_o0155,2,명사;한자 표기,w_f5cd0e6666771bd8,N2,verified,
w_1b23bca76df0323b,N3,N3;N2;N1,厳しい,きびしい,,엄격하다,"엄하다,엄격하다;엄격하다",i_adjective,word,1,mkt_n2;mkt_n3;pass_n1,mkt_n2_p010_o0252;mkt_n3_p007_o0139;pass_n1_p015_o0412,3,い형용사;유의어,w_1b23bca76df0323b,N4,verified,
w_b525e8c9df54ce59,N3,N3,参加,さんか,,참가,참가,noun,word,1,mkt_n3,mkt_n3_p013_o0319,1,명사,w_b525e8c9df54ce59,N3,verified,
w_36c3aa056ffdeb12,N3,N3,反対,はんたい,,반대,반대,noun,word,1,mkt_n3,mkt_n3_p017_o0439,1,명사,w_36c3aa056ffdeb12,N4,verified,
