id,level,surface,reading_kana,furigana,meaning_ko,part_of_speech,card_type,example_jp,example_ko,example_jp_id,example_jp_author,example_ko_id,example_ko_author,example_license,alt_forms,disambig,source,qa_status,deprecated,tags,data_version,frequency,reading_chapter,deprecated_reason,superseded_by
w_15718e31fcdc97da,N3,再利用,さいりよう,さいりよう,재활용,noun,A,一度使われた製品を回収して再利用する，PCR商品に関心が集まっている,한 번 쓰고 난 제품을 회수하여 재활용하는 PCR 상품에 관심이 집중되고 있다.,,NAVER 일본어사전 · 민중서림 엣센스 외래어사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.900,4,,
w_8df0fff24f94cc63,N3,電車代,でんしゃだい,でんしゃだい,전철 요금,noun,A,ローカル電車の料金。,경전철 요금.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.800,5,,
w_991452a6e6c60fe6,N3,食事代,しょくじだい,しょくじだい,식사비,noun,A,この飲食店は食事代に10％の税金を加算する。,이 음식점은 식사비에 십 퍼센트의 세금을 가산을 한다.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.780,5,,
w_7cd5627d3ce20c1e,N3,お尻,おしり,おしり,엉덩이,noun,B,イ：お母さん、お尻に土がたくさんついています。,"가: 엄마, 엉덩이에 흙이 많이 묻었어요.",,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.720,6,,
w_cad8582b7a300d32,N3,運転席,うんてんせき,うんてんせき,운전석,noun,A,"運転席からは死角をなしているので,歩行者が見えない.",운전석에서는 사각을 이루고 있어서 보행자가 보이지 않는다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.640,7,,
w_8941d0103c6f732e,N3,歓迎会,かんげいかい,かんげいかい,환영회,noun,A,斯くも盛大な歓迎会を催していただき…,이처럼 성대한 환영회를 베풀어 주시어….,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.620,7,,
w_25ad527c17b87073,N3,指定席,していせき,していせき,지정석,noun,A,ロ：別途に指定席が用意されていないので、どこにでも気に入った席にお座りください。,나: 따로 지정석이 없으니 아무 데나 마음에 드는 자리에 앉으시면 돼요.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.570,8,,
w_fe14460b003b1ec2,N3,お勧め,おすすめ,おすすめ,추천,noun,B,ところでさ、この近くにお勧めのレストランある？,"그런데 말야, 이 근처에 추천할 만한 식당 있니?",,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.420,11,,
w_45e4b652a83edbaa,N3,電気料金,でんきりょうきん,でんきりょうきん,전기 요금,noun,A,電気料金を3ヶ月間未払いしたら今日家に電気が止まった。,전기 요금을 석 달 동안 체불했더니 오늘 집에 전기가 끊겼다.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.330,13,,
w_975ea22574786aff,N3,駐車違反,ちゅうしゃいはん,ちゅうしゃいはん,주차 위반,noun,A,駐車違反[横流し]を取り締まる,주차 위반[부정 유출]을 단속하다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.240,14,,
w_0ac2f47e2fe8c201,N3,入場料,にゅうじょうりょう,にゅうじょうりょう,입장료,noun,A,入場料はいくらですか。,입장료는 얼마예요? (관광>관광정보>비용 문의),,NAVER 일본어사전 · 글로벌회화,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.130,16,,
w_da5d97115c037cf6,N3,急ブレーキ,きゅうブレーキ,きゅうブレーキ,급브레이크,noun,A,急ブレーキをかける.,급브레이크를 밟다[걸다],,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.110,16,,
w_ab837ffdcb213f58,N3,喫煙席,きつえんせき,きつえんせき,흡연석,noun,A,ロ：いいえ、喫煙席に座ります。,나: 아니요. 흡연석에 앉을게요.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.060,17,,
w_38d11f2617f9653b,N3,水道料金,すいどうりょうきん,すいどうりょうきん,수도 요금,noun,A,水道料金を口座から引き落とす.,수도 요금을 계좌에서 자동 이체하다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.030,17,,
w_d387124aff2d8230,N3,聞き直す,ききなおす,ききなおす,되묻다;다시 물어 보다,verb,B,同じ曲を聞き直す,같은 곡을 다시 듣다,,NAVER 일본어사전 · 교학사 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,4.000,18,,
w_92c1bf226f8b0b25,N3,禁煙席,きんえんせき,きんえんせき,금연석,noun,A,私は煙草のにおいが嫌いで禁煙席に座った。,나는 담배 냄새를 싫어해서 금연석에 앉았다.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.930,19,,
w_19e9ee3ef8522e50,N3,ファーストフード,ファーストフード,ファーストフード,패스트 푸드;즉석 식품,noun,D,ハンバーガーやピザのようなファーストフードは健康に有害だ。,"햄버거, 피자와 같은 패스트푸드는 건강에 해롭다.",,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.890,20,,
w_f389319f7406b3c7,N3,東南アジア,とうなんアジア,とうなんアジア,동남 아시아,noun,A,ミヤンマーは，一日も早く，孤立から脱して，東南アジア・南アジアのメーンストリームを認識せねばならない,미얀마는 하루라도 빨리 고립에서 벗어나 동남아시아·남아시아의 대세를 인식해야 한다.,,NAVER 일본어사전 · 민중서림 엣센스 외래어사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.830,21,,
